enrollee_id,target,mobility_persona,last_job_change_bin_norm,training_hours_bin,education_level,experience_clean,company_size_bin
31170,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,11.0,Very Small
21626,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,5.0,Small
30861,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,4.0,Small
16019,1.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,13.0,Enterprise
11840,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,3.0,Small
8902,0.0,Early-Career Explorer,<=1 year,Low (0-25),Unknown,1.0,Mid
5747,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,10.0,Mid
16204,1.0,Early-Career Explorer,<=1 year,High (51-100),Masters,4.0,Mid
5602,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Mid
18970,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,7.0,Enterprise
7938,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,3.0,Mid
24019,1.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,21.0,Small
10001,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Mid
1979,1.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,9.0,Mid
25994,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,18.0,Mid
11017,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Mid
9284,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,5.0,Mid
1060,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Mid
6763,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,10.0,Mid
1964,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,3.0,Mid
6293,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Very Small
4710,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,2.0,Mid
31323,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,21.0,Enterprise
2807,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,10.0,Small
32255,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Mid
19092,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,6.0,Very Small
26193,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,7.0,Very Small
4639,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Masters,15.0,Small
12853,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,15.0,Mid
7247,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,11.0,Very Small
7,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,13.0,Mid
15575,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,21.0,Small
11163,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,4.0,Small
2527,1.0,Early-Career Explorer,<=1 year,Very High (101+),High School,4.0,Enterprise
17797,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,6.0,Enterprise
8892,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,1.0,Mid
5163,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,21.0,Mid
28889,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Unknown,7.0,Large
1011,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,4.0,Mid
4923,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,10.0,Enterprise
21447,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,1.0,Mid
31357,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,12.0,Enterprise
12118,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,21.0,Very Small
33133,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,9.0,Enterprise
6306,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,7.0,Very Small
15204,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Very Small
23532,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Unknown,4.0,Mid
16300,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,4.0,Small
15428,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,6.0,Enterprise
7407,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,5.0,Mid
2204,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,11.0,Mid
17455,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,10.0,Small
26090,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,16.0,Enterprise
23124,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,2.0,Mid
1413,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Primary School,5.0,Mid
30757,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,14.0,Small
4684,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Mid
18772,0.0,Anchored Contributor,4-5 years,High (51-100),Masters,21.0,Enterprise
19902,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,2.0,Mid
16301,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,13.0,Small
32428,1.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,20.0,Small
25853,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,7.0,Mid
19592,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,6.0,Mid
1187,0.0,Anchored Contributor,4-5 years,Low (0-25),Masters,15.0,Enterprise
27645,1.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Mid
23530,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,5.0,Enterprise
7010,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Very Small
24963,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Unknown,5.0,Mid
14902,1.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,8.0,Small
28953,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,2.0,Mid
12719,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,4.0,Very Small
8383,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,21.0,Mid
28677,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,21.0,Mid
30954,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,4.0,Mid
14148,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,21.0,Mid
6766,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,16.0,Small
16338,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,7.0,Small
13760,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,3.0,Small
19481,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,11.0,Mid
17544,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,3.0,Mid
19984,1.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Masters,4.0,Enterprise
21776,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Mid
19910,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,7.0,Mid
13290,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,6.0,Mid
9074,1.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,21.0,Mid
28793,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),High School,8.0,Mid
19113,0.0,Early-Career Explorer,<=1 year,Low (0-25),Primary School,5.0,Mid
21437,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Phd,21.0,Mid
6543,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Enterprise
17507,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,9.0,Mid
11843,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,6.0,Mid
22782,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,7.0,Large
21875,0.0,Early-Career Explorer,<=1 year,Low (0-25),Unknown,1.0,Mid
22664,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,8.0,Mid
28553,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,15.0,Small
17362,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,4.0,Very Small
2963,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,0.0,Mid
22543,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,10.0,Small
17201,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,6.0,Mid
33228,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,10.0,Mid
32050,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,6.0,Enterprise
843,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,21.0,Mid
31780,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,14.0,Very Small
3457,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Enterprise
16636,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,15.0,Small
20131,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,2.0,Mid
27346,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,21.0,Small
1282,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,19.0,Enterprise
33282,1.0,Early-Career Explorer,<=1 year,Very High (101+),Unknown,7.0,Mid
17401,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,9.0,Mid
5193,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,16.0,Very Small
11737,0.0,Anchored Contributor,4-5 years,High (51-100),Masters,21.0,Very Small
1545,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,7.0,Small
4554,1.0,Early-Career Explorer,<=1 year,High (51-100),Masters,1.0,Enterprise
12200,1.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,18.0,Small
7830,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,6.0,Small
19409,1.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,14.0,Mid
24136,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,2.0,Mid
4014,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,4.0,Small
24999,0.0,Anchored Contributor,4-5 years,Low (0-25),Masters,9.0,Enterprise
18168,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,4.0,Enterprise
28241,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Small
1901,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,4.0,Small
9477,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,2.0,Very Small
5407,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,3.0,Mid
21171,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,21.0,Small
27048,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Mid
23517,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,4.0,Mid
13752,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,7.0,Small
6214,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,0.0,Mid
13636,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,18.0,Very Small
19206,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,16.0,Small
14747,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,2.0,Mid
24342,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,15.0,Very Small
4772,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,15.0,Mid
584,1.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,8.0,Mid
21676,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,11.0,Mid
18807,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Masters,18.0,Enterprise
10101,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,4.0,Very Small
14535,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,7.0,Mid
29235,0.0,Anchored Contributor,4-5 years,Low (0-25),Phd,21.0,Mid
22687,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,1.0,Enterprise
23621,1.0,Early-Career Explorer,<=1 year,High (51-100),High School,9.0,Mid
15142,1.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,11.0,Mid
1505,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,12.0,Mid
30988,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Mid
7870,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,11.0,Enterprise
14020,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,10.0,Small
16443,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,3.0,Enterprise
17431,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,8.0,Mid
29542,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,11.0,Small
32715,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,21.0,Small
15647,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,3.0,Mid
13493,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,4.0,Mid
8957,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,11.0,Very Small
12938,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,1.0,Very Small
968,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,8.0,Mid
33149,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,12.0,Very Small
19126,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,10.0,Very Small
16305,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,3.0,Mid
28162,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,2.0,Mid
2310,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,5.0,Small
13935,1.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Mid
19379,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,20.0,Enterprise
10157,0.0,Anchored Contributor,4-5 years,High (51-100),Phd,21.0,Enterprise
8143,1.0,Anchored Contributor,4-5 years,High (51-100),Graduate,0.0,Enterprise
28417,1.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,7.0,Small
12001,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,14.0,Mid
3257,1.0,Early-Career Explorer,<=1 year,High (51-100),Masters,21.0,Mid
28046,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,7.0,Mid
1534,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,8.0,Mid
31961,1.0,Early-Career Explorer,<=1 year,High (51-100),Masters,21.0,Mid
1337,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,7.0,Small
9096,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Small
32904,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,9.0,Enterprise
19115,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),High School,9.0,Enterprise
29998,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,3.0,Very Small
6120,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,16.0,Mid
12727,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,8.0,Very Small
18066,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,8.0,Very Small
30193,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,5.0,Mid
16159,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Masters,15.0,Enterprise
14930,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Masters,10.0,Mid
4885,0.0,Anchored Contributor,4-5 years,High (51-100),High School,19.0,Mid
32111,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),High School,2.0,Enterprise
9686,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,15.0,Large
5207,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,7.0,Mid
32310,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,4.0,Mid
31607,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,15.0,Enterprise
9128,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,5.0,Very Small
19778,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,14.0,Very Small
10965,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,3.0,Very Small
15606,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,8.0,Enterprise
22383,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,8.0,Mid
29988,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,3.0,Mid
22370,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Small
15347,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,6.0,Large
4700,0.0,Early-Career Explorer,<=1 year,Very High (101+),Unknown,2.0,Mid
1889,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Masters,7.0,Enterprise
1306,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,21.0,Mid
13820,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,9.0,Mid
24028,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,2.0,Mid
6879,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,0.0,Very Small
30955,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,3.0,Mid
11801,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,3.0,Mid
29464,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,12.0,Mid
3025,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,18.0,Mid
21846,1.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,5.0,Mid
32594,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,11.0,Small
3158,0.0,Anchored Contributor,4-5 years,High (51-100),Masters,11.0,Small
19402,1.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,5.0,Mid
24499,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,2.0,Very Small
29441,1.0,Anchored Contributor,4-5 years,High (51-100),Graduate,6.0,Small
29017,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,4.0,Large
10519,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,3.0,Mid
3310,1.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,12.0,Mid
18662,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,6.0,Enterprise
10985,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,6.0,Small
29348,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,20.0,Mid
5452,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,16.0,Small
31397,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Very Small
2560,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,8.0,Enterprise
30985,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Mid
6487,1.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,13.0,Very Small
21414,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,12.0,Small
32613,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,2.0,Mid
29001,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,19.0,Enterprise
4864,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,21.0,Enterprise
23772,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,11.0,Small
109,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,14.0,Enterprise
26456,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,10.0,Very Small
23152,0.0,Early-Career Explorer,<=1 year,Low (0-25),Unknown,4.0,Mid
25154,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,3.0,Mid
15289,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,6.0,Mid
33379,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,18.0,Very Small
3820,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,13.0,Enterprise
21733,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,9.0,Mid
13122,1.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Enterprise
25331,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,0.0,Mid
18762,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,6.0,Mid
25727,0.0,Anchored Contributor,4-5 years,Low (0-25),Unknown,9.0,Enterprise
787,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,16.0,Enterprise
19608,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,10.0,Enterprise
28049,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Small
1853,1.0,Early-Career Explorer,<=1 year,High (51-100),High School,2.0,Mid
18055,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,2.0,Small
26898,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,11.0,Very Small
5167,1.0,Early-Career Explorer,<=1 year,High (51-100),High School,1.0,Mid
21001,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,7.0,Enterprise
11556,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,12.0,Very Small
32851,1.0,Early-Career Explorer,<=1 year,High (51-100),High School,21.0,Mid
15283,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,0.0,Mid
8624,0.0,Anchored Contributor,4-5 years,Very High (101+),Masters,15.0,Enterprise
16374,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,9.0,Small
29119,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,4.0,Mid
26390,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,2.0,Very Small
19707,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,2.0,Small
5013,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,5.0,Small
769,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Enterprise
5951,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,10.0,Mid
32086,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,2.0,Mid
17347,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Enterprise
21721,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,4.0,Very Small
11894,1.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,15.0,Large
2256,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,7.0,Enterprise
27901,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,21.0,Enterprise
14078,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Phd,21.0,Enterprise
7271,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Masters,7.0,Small
10942,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,0.0,Mid
30300,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,10.0,Mid
19845,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,6.0,Enterprise
30040,1.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,6.0,Mid
28975,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,12.0,Large
8974,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,5.0,Enterprise
10216,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,8.0,Enterprise
4875,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Mid
27927,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,12.0,Mid
20969,1.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,10.0,Very Small
20898,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,3.0,Mid
27649,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,21.0,Enterprise
24200,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,7.0,Enterprise
24687,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,21.0,Mid
391,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,6.0,Mid
24778,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,21.0,Enterprise
26080,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,0.0,Mid
32837,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,11.0,Mid
10140,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,0.0,Mid
22868,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,13.0,Enterprise
16085,0.0,Anchored Contributor,4-5 years,Low (0-25),Primary School,0.0,Enterprise
308,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,4.0,Small
27252,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,0.0,Mid
33370,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,6.0,Mid
29782,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Mid
13637,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,9.0,Mid
6470,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,8.0,Small
19070,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,3.0,Mid
19368,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,10.0,Mid
29696,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,3.0,Mid
22841,1.0,Anchored Contributor,4-5 years,Low (0-25),Masters,14.0,Mid
32307,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,4.0,Small
5942,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,4.0,Small
20191,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,0.0,Small
9363,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,13.0,Enterprise
25744,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,5.0,Mid
14951,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,16.0,Enterprise
14543,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),High School,6.0,Very Small
748,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,21.0,Small
13427,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,8.0,Enterprise
32886,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,12.0,Very Small
15104,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,21.0,Enterprise
20100,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,4.0,Very Small
18858,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,13.0,Mid
24464,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,21.0,Small
12082,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,13.0,Large
13783,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,18.0,Very Small
9492,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,6.0,Mid
14072,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,17.0,Mid
13700,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,5.0,Mid
17036,1.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,5.0,Mid
